ID,LATITUDE,LONGITUDE,Mun/UF,MUNICIPIO,UF,Valor
276,-15.67,-38.94,CANAVIEIRAS - BA,CANAVIEIRAS,BA,23.374.897.479.198
277,-11.8,-39.11,CANDEAL - BA,CANDEAL,BA,6.852.498.196.762
278,-12.66,-38.55,CANDEIAS - BA,CANDEIAS,BA,48.617.106.165.645
279,-14.41,-42.86,CANDIBA - BA,CANDIBA,BA,87.539.525.923.638
280,-15.5,-41.23,CANDIDO SALES - BA,CANDIDO SALES,BA,15.697.728.844.208
281,-10.67,-39.49,CANSANCAO - BA,CANSANCAO,BA,211.719.900.013
282,-9.9,-39.13,CANUDOS - BA,CANUDOS,BA,11.628.035.598.083
283,-11.66,-39.83,CAPELA DO ALTO ALEGRE - BA,CAPELA DO ALTO ALEGRE,BA,75.474.762.364.328
284,-11.38,-40.01,CAPIM GROSSO - BA,CAPIM GROSSO,BA,17.332.408.065.339
285,-14.6,-41.33,CARAIBAS - BA,CARAIBAS,BA,10.154.454.715.821
286,-17.73,-39.26,CARAVELAS - BA,CARAVELAS,BA,11.747.390.018.292
287,-11.94,-37.94,CARDEAL DA SILVA - BA,CARDEAL DA SILVA,BA,45.499.166.107.831
288,-14.3,-43.76,CARINHANHA - BA,CARINHANHA,BA,17.744.223.590.221
289,-9.16,-40.97,CASA NOVA - BA,CASA NOVA,BA,30.245.093.227.434
290,-12.76,-39.42,CASTRO ALVES - BA,CASTRO ALVES,BA,17.011.344.492.731
291,-12.31,-44.86,CATOLANDIA - BA,CATOLANDIA,BA,19.954.737.076.252
292,-12.35,-38.37,CATU - BA,CATU,BA,29.921.156.036.361
293,-13.32,-42.29,CATURAMA - BA,CATURAMA,BA,64.571.912.634.929
294,-11.13,-42.11,CENTRAL - BA,CENTRAL,BA,91.393.366.565.177
295,-8.98,-39.09,CHORROCHO - BA,CHORROCHO,BA,61.094.884.539.564
